Borough,CouncilDist,Food_Scrap_Drop_Off_Site_Name,Latitude,Location,Longitude,NTAName,Notes,Object ID,Operation_Day_Hours,Open_Months,Hosted_By,Website,boroCD,ct2010,point,Precinct,BBL,BIN
New York,1,Governors Island Zero Waste Stations,40.691403,Several locations throughout Governors Island,-74.019696,park-cemetery-etc-Manhattan,Accepted: All organics except pet waste,52,Check ferry schedule,Year Round,NYC Compost Project Hosted by Earth Matter NY,,101,,POINT (-74.019696000001 40.6914030000032),,,
New York,6,Tucker Square Thursday Greenmarket,40.773404,66th St and Columbus Ave.,-73.981848,Lincoln Square,"No Meat, Fish, and Dairy No BPI-Certified Compostable Plastic Products.",199,"Thursdays, 8:00 - 11:00 AM",Year Round,GrowNYC,grownyc.org/compost,107,149,POINT (-73.981848000001 40.7734040000032),20,,
Kings,34,BK Rot,40.697694,"1309 Dekalb Ave, Brooklyn, NY 11221 (Know Waste Lands Community Garden)",-73.925806,Bushwick South,"Not accpepted: meat, dairy, oil, or pet waste",20,Sundays 12:00PM - 3:00PM,Year Round,BK Rot,BKrot.org,304,,POINT (-73.925806000001 40.6976940000032),,,
Kings,34,Farm To People,40.7054315,"1100 Flushing Ave, Brooklyn, NY 11237",-73.9269348,Bushwick North,"No meat, dairy, fish. No BPI certified products.",155,"Sundays 9AM-1PM, Mondays 1PM - 7PM",Year Round,Farm to People,,301,,POINT (-73.926934800001 40.7054315000032),,,
New York,3,Hudson River Park's Pier 84 at W. 44th St.,40.76346,Pier 84 at W. 44th St. near dog park,-74.00025,Clinton,"Not accepted: meat, bones, or dairy",39,Every day 7:00 am - 7:00 pm,Year Round,Staff at Hudson River Park,https://hudsonriverpark.org/the-park/sustainability/community-compost-program/,104,,POINT (-74.0002500000009 40.7634600000032),,,
Bronx,17,Mary Mitchell Family & Youth Center,40.844901,"2007 Mapes Ave, Bronx, NY 10460",-73.887287,East Tremont,"Not accepted: meat, bones, dairy",67,Mondays - Fridays 9:00AM - 5:00PM,Year Round,Mary Mitchell Family & Youth Center,http://themarymitchellfyc.org/,206,,POINT (-73.887287000001 40.8449010000032),,,
Richmond,49,Olivet Heavenly Harvest,40.63034,"97 Myrtle Avenue, Staten Island, NY",-74.11616,New Brighton-Silver Lake,"Not accepted: grains, bread, meat, or dairy",99,Saturdays 10:00AM - 2:00PM,Year Round,Olivet Heavenly Harvest,olivetheavenlyharvest.com,501,,POINT (-74.116160000001 40.6303400000032),,,
New York,9,Abyssinian Tot Lot,40.817313,"130 W 139th St, New York, NY 10030",-73.940812,Central Harlem North-Polo Grounds,"Not accepted: meat, bones, or dairy. Closed on all federal holidays. Drop off directly in the pallet compost bin inside the garden.",84,Tuesdays and Thursdays 9:00AM - 5:00PM,Year Round,Plant Group,www.plantgroupnyc.com,110,,POINT (-73.9408120000009 40.8173130000032),,,
Kings,47,Avenue X at West Street,40.590444,"SW corner of Avenue X and West Street, in front of Rite Aide, across from P.S.216",-73.970333,Gravesend,"Not accepted: meat, bones, or dairy",131,Wednesdays 10 AM - 2 PM,Year Round,NYC Compost Project Hosted by LES Ecology Center,https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,315,,POINT (-73.970333000001 40.5904440000032),,,
Bronx,11,WEATHER CLOSURE 1/31: Lehman College,40.873838,"Gate 8: Bedford Park Blvd West & Paul Ave Bronx, NY 10468",-73.895344,Van Cortlandt Village,No drop-offs on Holidays when campus is closed,15,Mondays 9:00AM - 12:00PM,Year Round,Volunteers at Lehman College,,207,,POINT (-73.895344000001 40.8738380000032),,,
Kings,38,CLOSED 1/29: 7th Ave Sunset Park Greenmarket,40.646152,7th Ave & 44th St,-74.002213,Sunset Park East,"No Meat, Fish, and Dairy, or BPI-Certified Compostable Plastic Products.",191,Saturdays 8:00 AM 12:00 PM,Year Round,GrowNYC,grownyc.org/compost,307,,POINT (-74.002213000001 40.6461520000032),,,
Kings,42,Abib Newborn Learning Garden,40.6595266,"495 Osborn St, Brooklyn, NY 11212",-73.90591,Brownsville,"Not accepted: meat, bones, or dairy",112,Summer (July-August) Monday - Friday (9am - 4pm) Sunday (10am -2pm) 2 Saturdays a month (1-3pm),Year Round,Volunteers at Abib Newborn Learning Garden,https://cityparksfoundation.org/learning-gardens/,316,,POINT (-73.905910000001 40.6595266000032),,,
,1,Hudson River Park's Pier 25 at N. Moore St.,40.7202214,Pier 25 at N. Moore St. near kid's playground,-74.0130151,SoHo-TriBeCa-Civic Center-Little Italy,"Not accepted: meat, bones, or dairy",35,Every day 7:00AM - 7:00PM,Year Round,Staff at Hudson River Park,https://hudsonriverpark.org/the-park/sustainability/community-compost-program/,101,,POINT (-74.013015100001 40.7202214000032),,,
New York,4,Dag Hammarskjold Plaza Greenmarket,40.752606,E 47th St & 2nd Ave,-73.969036,Turtle Bay-East Midtown,No meat. No BPI Products.,195,Wednesdays 8:00 AM to 12:30 PM,Year Round,GrowNYC,grownyc.org/compost,106,,POINT (-73.969036000001 40.7526060000032),,,
Kings,33,Vinegar Hill Community Garden,40.701501,"199 York St, Brooklyn, NY 11201",-73.98263,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,"Not accepted: meat, bones, or dairy",79,Sundays 11:00AM - 2:00PM,Year Round,Members of Vinegar Hill Community Garden,https://groundcycle.org/,302,,POINT (-73.982630000001 40.7015010000032),,,
New York,8,Uptown Grand Central Fresh Food Box,40.8049824,"Uptown Grand Central Plaza  Park Ave &, E 125th St, Manhattan, NY 10035",-73.9390315,East Harlem North,,167,"Wednesdays, 2 PM - 7 PM",Year Round,Uptown Grand Central,,111,,POINT (-73.939031500001 40.8049824000032),,,
Queens,22,Astoria Pug: Hoyt,40.77538,"Northwest corner of Hoyt Avenue North and 21st Street, in a courtyard that?s officially called SITTING AREA",-73.92302,Steinway,"Not accepted: meat, bones, or dairy",74,Saturdays 9:00AM - 3:00PM,Year Round,Astoria Pug,https://www.instagram.com/astoriapug/?hl=en,401,,POINT (-73.923020000001 40.7753800000032),,,
Richmond,51,CLOSED FOR THE SEASON: Staten Island Mall Greenmarket,40.583757,"Staten Island Mall, Marsh Ave & Ring Rd, Staten Island, NY 10314",-74.161931,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,"No meat, bones, or dairy accepted.",135,"Saturdays, 8:30am-1pm",Spring-Dec 18 2021,GrowNYC,grownyc.org/compost,502,,POINT (-74.161931000001 40.5837570000032),,,
Bronx,11,Praxis Housing,40.89683,4339 White Plains Road,-73.85594,Woodlawn-Wakefield,"Not accepted: meat, bones, or dairy. Enter through rear gate to drop off food scraps in brown bins",80,Fridays 9:00AM - 1:00PM,Year Round,Staff at Praxis Housing,https://www.praxishousing.org,212,418,POINT (-73.855940000001 40.8968300000032),47,2050390007,2118535
New York,7,Jenny's Garden,40.823225,699 West 138th Street,-73.95617,Hamilton Heights,WEATHER PERMITTING! Check IG/FB for weekend updates.  Please DO NOT leave bags of food scraps by gate when the garden is closed.  Remember to remove produce stickers.,103,Saturdays 11:00AM - 1:00PM,Year Round,Jenny's Garden,https://www.instagram.com/jennysgarden138/,109,225,POINT (-73.956170000001 40.8232250000032),30,,
Kings,40,Rogers/Tilden/Veronica Place Garden,40.6472062,"2601 - 2603 Tilden Avenue, Brooklyn 11226",-73.9526235,Erasmus,,206,Saturdays 10AM-12PM,Year Round,Rogers/Tilden/Veronica Place Garden,,317,,POINT (-73.952623500001 40.6472062000032),,,
Queens,22,Hellgate Farm,40.7690324,"14-33 30th Drive, Long Island City, NY 11102",-73.9298265,Old Astoria,,3,"December-February: Saturdays & Sundays, 08:00 AM-08:00 PM;",Year Round,Staff at Hellgate Farm,https://www.hellgatefarm.com/,401,,POINT (-73.9298265000009 40.7690324000032),,,
Kings,36,WEATHER CLOSURE 1/29: Bed Stuy Fresh Food Box,40.68133,Decatur St and Lewis Ave,-73.93481,Stuyvesant Heights,"Not accepted: meat, bones, or dairy",42,Saturdays 11:00AM - 3:00PM,Year Round,GrowNYC,https://www.grownyc.org/foodbox/Bed-Stuy,303,273,POINT (-73.934810000001 40.6813300000032),81,,
Kings,38,18th Avenue at 64th Street,40.6200069,west of 18th Avenue between 64th Street and 63rd Street,-73.9894525,Bensonhurst West,,176,Tuesdays	10:00 AM	2:00 PM,Year Round,NYC  Compost Project Hosted by LES Ecology Center,https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/ NYC,311,,POINT (-73.989452500001 40.6200069000032),,,
Kings,44,Bay Parkway at 66th Street,40.613046,east of Bay Parkway between 66th Street & West 8th Street,-73.982115,Bensonhurst East,,174,Tuesdays	10:00 AM- 2:00 PM,Year Round,NYC Compost Project Hosted by LES Ecology Center,https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,311,,POINT (-73.982115000001 40.6130460000032),,,
Kings,40,Cortelyou Greenmarket,40.641438,Argyle Rd and Cortelyou Rd,-73.966333,Flatbush,"Not accepted: meat, bones, or dairy",60,Sundays 9:00AM - 1:00PM,Year Round,GrowNYC,,314,520,POINT (-73.966333000001 40.6414380000032),70,,
Richmond,51,Rossville,40.530764,Gladwin St and Pitney Ave,-74.222539,Charleston-Richmond Valley-Tottenville,"Not accepted: meat, bones, or dairy",163,Mondays 12 PM - 2 PM,Year Round,Snug Harbor Youth,https://snug-harbor.org/,503,226,POINT (-74.222539000001 40.5307640000032),123,,
Richmond,49,Compost Demonstration Site at Snug Harbor Cultural Center & Botanical Garden,40.641619,Compost Demonstration Site at Snug Harbor Cultural Center & Botanical Garden 1000 Richmond Terrace,-74.1012686,West New Brighton-New Brighton-St. George,,47,Thursdays 9:00AM - 2:30PM,Year Round,NYC Compost Project Hosted by Snug Harbor Cultural Center & Botanical Garden,Snug Harbor Cultural Center & Botanical Garden,501,,POINT (-74.101268600001 40.6416190000032),,,
Kings,33,WEATHER CLOSURE 1/29: Brooklyn Borough Hall Saturday Greenmarket,40.69378,Court St and Montague St,-73.990287,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,"No meat, fish, dairy. No BPI-Certified Products.",144,"Saturdays, 8:00AM-12:00PM",Year Round,GrowNYC,https://www.grownyc.org/compost,302,9,POINT (-73.990287000001 40.6937800000032),84,,
New York,2,1st Ave and  1st St,40.723183,First Avenue between Houston and First Street (West Side),-73.988622,East Village,"Not accepted: meat, bones, or dairy",28,Mondays 9:00AM - 2:00PM,Year Round,NYC Compost Project Hosted by LES Ecology Center,https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,103,,POINT (-73.988622000001 40.7231830000032),,,
New York,3,Hudson River Park Pier 96 Boathouse at W 55 St,40.771,Park Pier 96 Boathouse at W 55 St,-73.995372,Clinton,"Not accepted: meat, bones, or dairy",59,Every day 7:00AM - 7:00PM,Year Round,Staff at Hudson River Park,https://hudsonriverpark.org/the-park/sustainability/community-compost-program/,104,,POINT (-73.995372000001 40.7710000000032),,,
New York,3,6th Ave & Spring St,40.7256282,6th Avenue & Spring Street -NE Corner,-74.003866,SoHo-TriBeCa-Civic Center-Little Italy,"Not accepted: Meat, bones, or dairy",32,Wednesdays 9:00AM - 2:00PM,Year Round,NYC Compost Project Hosted by LES Ecology Center,https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,102,,POINT (-74.003866000001 40.7256282000032),,,
Bronx,8,Friends of Brook Park Community Garden,40.8097074,"494 E 141st St, The Bronx, NY 10454",-73.9185797,Mott Haven-Port Morris,,17,Saturdays & Sundays from 10:00AM - 4:00PM,Year Round,Volunteers at Friends of Brook Park Community Garden,,201,,POINT (-73.918579700001 40.8097074000032),,,
Bronx,17,Montefiore's Bronx Health Collective Fresh Food Box,40.820667,871 Prospect Ave,-73.901845,Morrisania-Melrose,No meat. No BPI-certified Products.,186,Fridays	11:00 AM - 2:00 PM,Year Round,GrowNYC,grownyc.org/compost,203,133,POINT (-73.901845000001 40.8206670000032),42,2026770090,2005014
Richmond,50,Midland Beach,40.575904,Bedford Ave and Mason Ave,-74.09677,New Dorp-Midland Beach,,164,"Wednesdays, 3:30-5PM",Year Round,Snug Harbor Youth,snug-harbor.org/,502,11202,POINT (-74.0967700000009 40.5759040000032),122,,
Kings,47,Bensonhurst Food Scrap Drop-off,40.609644,18th Ave & 81st St,-73.999683,Bensonhurst West,"No meat, fish, dairy. No BPI Certified Products.",149,"Sundays, 9:00AM-1:00PM",Year Round,GrowNYC,grownyc.org/compost,311,,POINT (-73.999683000001 40.6096440000032),,,
Richmond,49,WEATHER CLOSURE 1/29: St. George Greenmarket,40.641967,St. Marks Pl and Hyatt St,-74.077928,West New Brighton-New Brighton-St. George,"Not accepted: meat, bones, or dairy",90,Saturdays 8:00AM - 12:00PM,Year Round,NYC Compost Project Hosted by Snug Harbor Cultural Center & Botanical Garden,https://snug-harbor.org/compost/,501,3,POINT (-74.077928000001 40.6419670000032),120,,
Kings,41,CLOSED FOR THE SEASON: Iso Student Farm,40.6674207,"514 Rockaway Avenue, Brooklyn, NY 11212",-73.9102833,Brownsville,,4,Fridays and Saturdays 9:00 AM-1:00 PM,"Seasonal, April-October",Volunteers at Isabahlia LOE Foundation,http://www.isabahlialoeinc.org,316,,POINT (-73.910283300001 40.6674207000032),,,
Bronx,8,Mott Haven Food Scrap Drop-off,40.809894,545 East 142nd Street,-73.915999,Mott Haven-Port Morris,"Not accepted: meat, bones, or dairy",181,Wednesdays 9 AM - 12 PM,Year Round,GrowNYC,grownyc.org/compost,201,41,POINT (-73.9159990000009 40.8098940000032),40,2022690021,2090354
Queens,26,The Connected Chef,40.74387,49-09 5th Street and 49th Avenue,-73.9562,Hunters Point-Sunnyside-West Maspeth,"No meat, dairy, or fish.",137,Fridays and Saturdays 9 AM - 2 PM,Year Round,The Connected Chef,theconnectedchef.org,402,,POINT (-73.956200000001 40.7438700000032),,,
Bronx,14,New Beginnings Community Garden,40.864176,2502 Davidson Ave,-73.900932,Kingsbridge Heights,No meat. No BPI Products.,196,Saturday + Sunday 2-5pm,January-December,New Beginnings Community Garden,,207,265,POINT (-73.900932000001 40.8641760000032),52,2032010001,2000000
Queens,22,Astoria Pug: 41st Street,40.7724122,Ditmars Boulevard and 41st Street,-73.9053388,Steinway,"No meat, dairy, fish. No BPI-certified products.",154,"Mondays, 8AM-11AM",Year Round,Astoria Pug,,401,119,POINT (-73.905338800001 40.7724122000032),114,,
New York,2,Tompkins Square Greenmarket,40.725995,"E 7th St & Avenue A, New York, NY 10009",-73.983207,East Village,"Not accepted: meat, bones, or dairy",64,Sundays 8:00AM - 5:00PM,Year Round,NYC Compost Project Hosted by LES Ecology Center,https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,103,,POINT (-73.983207000001 40.7259950000032),,,
Kings,35,Crown Heights Farmstand,40.664616,Nostrand Ave & Sullivan Pl,-73.950915,Crown Heights South,"Not accepted: meat, bones, or dairy",159,"Fridays, 9 AM - 2PM",Year Round,GrowNYC,grownyc.org/compost,309,,POINT (-73.950915000001 40.6646160000032),,,
Bronx,11,Keepers House Edible Garden,40.87896,3400 Reservoir Oval East,-73.87585,Norwood,"Not accepted: meat, bones, or dairy",27,Every day 9:00AM - 8:00PM,Year Round,Keepers House Edible Garden,www.mpcbronx.org,207,423,POINT (-73.875850000001 40.8789600000032),52,2033430185,2018218
Bronx,15,CLOSED FOR THE SEASON: Garden of Happiness,40.848613,"2144F Prospect Ave, The Bronx, NY 10460",-73.884999,East Tremont,"Not accepted: Meat, bones, or dairy. Bin will be placed near the front entrance a mask must be worn when entering the Garden.",122,Closed for Season,Closed for Season,Volunteers at Garden of Happiness,http://www.lafamiliaverde.org/,206,,POINT (-73.8849990000009 40.8486130000032),,,
New York,6,79th St. Greenmarket,40.780087,77th Street between Columbus Ave and Central Park West,-73.974657,Upper West Side,"Not accepted: meat, bones, or dairy",49,Sundays 9:00AM - 3:00PM,Year Round,GrowNYC,,107,,POINT (-73.974657000001 40.7800870000032),,,
,39,WEATHER CLOSURE 1/30: Nurture BK,40.654917,"Prospect Park, West of the entrance on Parkside Av (& Ocean Av)",-73.962083,park-cemetery-etc-Brooklyn,"Not accepted: Meat, bones, dairy, or oil",21,Sundays 9:00AM - 11:00AM,Year Round,Nurture BK,https://www.instagram.com/nurturebk_compost/,355,,POINT (-73.9620830000009 40.6549170000032),,,
New York,3,Hudson River Park's Pier 40 at W. Houston St.,40.7298117,Pier 40 at Houston St. near dog park,-74.0110087,West Village,"Not accepted: meat, bones, or dairy.",36,Every day 7:00AM - 7:00PM,Year Round,Staff at Hudson River Park,https://hudsonriverpark.org/the-park/sustainability/community-compost-program/,102,69,POINT (-74.011008700001 40.7298117000032),6,1006560001,1000000
Queens,24,King Manor Museum,40.70216,"150-03 Jamaica Ave, Jamaica, NY 11432",-73.80445,Jamaica,"Not accepted: meat, bones, or dairy.",95,Fridays 10:00AM - 4:00PM; Saturdays 9:30AM - 2:30PM,Year Round,King Manor Museum,https://www.kingmanor.org/,412,,POINT (-73.804450000001 40.7021600000032),,,
Bronx,11,CLOSED FOR THE SEASON: James Baldwin Outdoor Learning Center,40.88207,"100 W Mosholu Pkwy S, The Bronx, NY 10468",-73.88825,Van Cortlandt Village,Site entrance is on the Goulden Ave side of campus,127,Saturdays 10 am - 2 pm,Spring - Fall,Volunteers at James Baldwin Outdoor Learning Center,https://www.jamesbaldwinoutdoorlearningcenter.org/,207,,POINT (-73.888250000001 40.8820700000032),,,
Kings,41,CLOSED FOR THE SEASON: Farmers Garden,40.67465,1899 Bergen Street,-73.91823,Ocean Hill,"Not accepted: meat, bones, or dairy",132,CLOSED FOR SEASON,CLOSED FOR SEASON,Volunteers at Farmers Garden,,316,303,POINT (-73.9182300000009 40.6746500000032),73,3014460063,3000000
New York,10,181st Street Food Scrap Drop-off,40.850947,"W 181st St & Fort Washington Ave, New York, NY 10033",-73.938068,Washington Heights North,"No Meat, Fish, and Dairy. No BPI-Certified Compostable Plastic Products.",201,"Thursday, 7:00AM-12:30PM",Year Round,GrowNYC,grownyc.org/compost,112,,POINT (-73.938068000001 40.8509470000032),,,
Richmond,51,Arden Heights,40.556014,Arden Avenue and Forest Green,-74.194626,Arden Heights,"Not accepted: meat, bones, or dairy,",169,"Sundays, 9:00 - 10:30 AM",Year Round,Snug Harbor Youth Volunteers,https://snug-harbor.org/,503,17007,POINT (-74.194626000001 40.5560140000032),123,,
New York,1,Battery Park City Authority Rockefeller Park,40.7183877,Lower level downstairs at corner of Chambers St and River Terrace,-74.0148782,Battery Park City-Lower Manhattan,"Not accepted: cooked foods, bread, grains, meat, or dairy",110,24/7,Year Round,Battery Park City Authority,https://bpca.ny.gov/nature-and-sustainability/sustainability/,101,,POINT (-74.014878200001 40.7183877000032),,,
Bronx,11,CLOSED FOR THE SEASON: Riverdale Y Sunday Market,40.8918241,4545 Independence Ave,-73.912916,North Riverdale-Fieldston-Riverdale,"Not accepted: meat, bones, or dairy",105,Sundays 11:30 AM - 12:30PM,April - December,Riverdale Y Sunday Market Volunteers,,208,309,POINT (-73.9129160000009 40.8918241000032),50,2059200456,2088698
Bronx,15,CLOSED FOR THE SEASON: Garden of Youth,40.849329,"Corner of 182 St and Prospect Ave, Bronx, NY 10457",-73.885159,East Tremont,"Not accepted: meat, bones, dairy. Bin will be placed at the side entrance on 182nd. Mask must be worn when entering the garden.",68,Closed for Season,Closed for Season,Volunteers at Garden of Youth,,206,,POINT (-73.885159000001 40.8493290000032),,,
Bronx,13,Einstein Community Garden,40.8532261,Near 1975 Eastchester Road,-73.8434618,Pelham Parkway,"Drop items inside the blue barrel located in the garden. Remove all plastic, stickers, & ties. before dropping off food scraps. Not accepted: grains, meat, bones, or dairy.",117,Wednesdays 4 PM - 5 PM,Year Round,Volunteers at Einstein Community Garden,,211,296,POINT (-73.8434618000009 40.8532261000032),49,2042050002,2102976
Kings,35,Prospect Heights Food Scrap Drop-off Site,40.67741,Park Place & Carlton Ave,-73.972226,Prospect Heights,"No Meat, Bones, Dairy. No BPI-Certified Plastic Products.",142,"Thursdays, 8-11AM",Year Round,GrowNYC,https://www.grownyc.org/compost,308,,POINT (-73.972226000001 40.6774100000032),,,
Kings,34,Sure We Can,40.705441,"219 McKibben Street, Brooklyn, NY 11206",-73.93882,Bushwick South,"Not accepted: Meat, bones, dairy, or oil",53,Mondays - Fridays 7:00AM - 5:00PM; Saturdays 7:00AM - 1:00PM,Year Round,Sure We Can,http://www.surewecan.org/composting,301,,POINT (-73.938820000001 40.7054410000032),,,
New York,2,WEATHER CLOSURE 1/29: Union Square Greenmarket,40.73661,"E 17th St & Union Square E, New York, NY",-73.9893,Hudson Yards-Chelsea-Flatiron-Union Square,"Not accepted: meat, bones, or dairy",10,"Mondays, Wednesdays, Fridays, & Saturdays, 8:00 AM-5:00 PM",Year Round,NYC Compost Project Hosted by LES Ecology Center,https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,105,,POINT (-73.989300000001 40.7366100000032),,,
New York,7,Frank White Memorial Garden,40.824235,"506 West 143rd Street, New York, NY 10031",-73.9500017,Hamilton Heights,Garden staff will be available for questions or concerns from 10am-6pm.,100,24/7,Year Round,Brotherhood Sister Sol,www.brotherhood-sistersol.org,109,,POINT (-73.950001700001 40.8242350000032),,,
Queens,25,CLOSED FOR THE SEASON: Farm Spot CSA,40.754004,33-50 82nd street,-73.885483,Jackson Heights,"Not Accepted: meat, bones, or dairy",78,Thursdays 5:30PM - 8:30PM,May 1 - November 18,Volunteers at Farm Spot,Farmspot.org,403,283,POINT (-73.885483000001 40.7540040000032),115,4012540032,4028776
Queens,29,The Compost Collective,40.71645,"The corner of Yellowstone Blvd, and Kessel Street Forest Hills, NY 11375",-73.85778,Rego Park,"Not accepted: meat, bones, or dairy",73,Saturdays 12:00PM - 2:00PM,Year Round (Except February),The Compost Collective,https://www.facebook.com/pg/thecompostcollective/about/?ref=page_internal,406,,POINT (-73.8577800000009 40.7164500000032),,,
Bronx,16,BronxWorks Carolyn McLaughlin Community Center,40.83268,"1130 Grand Concourse, Bronx, NY 10456",-73.918805,East Concourse-Concourse Village,"No Meat, Fish, and Dairy. No BPI-Certified Compostable Plastic Products.",205,"Thursdays, 10AM-1PM",Year Round,GrowNYC,grownyc.org/compost,204,,POINT (-73.918805000001 40.8326800000032),,,
Queens,25,Jackson Heights Greenmarket,40.753687,79th St and Northern Blvd,-73.886999,Jackson Heights,"Not accepted: meat, bones, or dairy",128,Sundays 9:00AM - 1:00PM,Year Round,GrowNYC,,403,285,POINT (-73.8869990000009 40.7536870000032),115,,
Bronx,15,Fordham Plaza Food Scrap Drop-off,40.861152,E Fordham Rd between Webster Ave & Third Ave,-73.890783,Claremont-Bathgate,"Not accepted: meat, bones, or dairy",41,Fridays 8:00 AM - 11:30 AM,Year Round,GrowNYC,https://www.grownyc.org/greenmarket/bronx/fordham,206,,POINT (-73.8907830000009 40.8611520000032),,,
Kings,39,Albemarle Road and McDonald Avenue,40.644969,"southwest corner of McDonald Avenue and Albemarle Road, near Church Avenue F subway entrance",-73.980005,Kensington-Ocean Parkway,,173,Tuesdays 10AM-2PM,Year Round,NYC Compost Project Hosted by LES Ecology Center,https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,312,,POINT (-73.980005000001 40.6449690000032),,,
Bronx,11,Spuyten Duyvil PreSchool,40.879247,3041 Kingsbridge Avenue,-73.90727,Spuyten Duyvil-Kingsbridge,"Remove all plastic, stickers and zip ties before dropping off food scraps",197,Fridays 8 AM - 12 PM,September - June,Spuyten Duyvil PreSchool,www.spuytenduyvilpreschool.org,208,289,POINT (-73.907270000001 40.8792470000032),50,2057090046,2083194
New York,3,8th Ave & 23rd St,40.745331,"West 23rd Street at 8th Avenue, North side of W 23rd Street, just east of 8th Avenue",-73.998272,Hudson Yards-Chelsea-Flatiron-Union Square,"Not accepted: meat, bones, or dairy",46,Wednesdays 9:00AM - 2:00PM,Year Round,NYC Compost Project Hosted by LES Ecology Center,https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,104,,POINT (-73.998272000001 40.7453310000032),,,
